Id,Source,Target
4211,someday,Look Away
4212,lover,Look Away
4213,meet,Look Away
4214,find,Look Away
4215,bout,Look Away
4216,use,Look Away
4217,walkin,Look Away
4218,worry,Look Away
4219,dont,Look Away
4220,news,Look Away
4221,ta,Look Away
4222,itll,Look Away
4223,fine,Look Away
4224,youve,Look Away
4225,get,Look Away
4226,someone,Look Away
4227,know,Look Away
4228,eye,Look Away
4229,replace,Look Away
4230,yeah,Look Away
4231,tell,Look Away
4232,mornin,Look Away
4233,baby,Look Away
4234,away,Look Away
4235,tear,Look Away
4236,really,Look Away
4237,hear,Look Away
4238,free,Look Away
4239,round,Look Away
4240,comin,Look Away
4241,word,Look Away
4242,friend,Look Away
4243,thats,Look Away
4244,okay,Look Away
4245,never,Look Away
4246,take,Look Away
4247,call,Look Away
4248,else,Look Away
4249,whoa,Look Away
4250,sometimes,Look Away
4251,look,Look Away
4252,street,Look Away
4253,pretend,Look Away
4254,way,Look Away
4255,happy,Look Away
4256,ask,My Prerogative
4257,im,My Prerogative
4258,crazy,My Prerogative
4259,pocket,My Prerogative
4260,trip,My Prerogative
4261,truly,My Prerogative
4262,together,My Prerogative
4263,talk,My Prerogative
4264,person,My Prerogative
4265,question,My Prerogative
4266,cause,My Prerogative
4267,give,My Prerogative
4268,yo,My Prerogative
4269,brother,My Prerogative
4270,thing,My Prerogative
4271,see,My Prerogative
4272,damn,My Prerogative
4273,care,My Prerogative
4274,want,My Prerogative
4275,hey,My Prerogative
4276,ted,My Prerogative
4277,stuff,My Prerogative
4278,say,My Prerogative
4279,ego,My Prerogative
4280,lem,My Prerogative
4281,world,My Prerogative
4282,everybodys,My Prerogative
4283,like,My Prerogative
4284,something,My Prerogative
4285,bizzit,My Prerogative
4286,make,My Prerogative
4287,doin,My Prerogative
4288,live,My Prerogative
4289,girl,My Prerogative
4290,wrong,My Prerogative
4291,na,My Prerogative
4292,dont,My Prerogative
4293,strange,My Prerogative
4294,prerogative,My Prerogative
4295,relationship,My Prerogative
4296,day,My Prerogative
4297,without,My Prerogative
4298,go,My Prerogative
4299,get,My Prerogative
4300,right,My Prerogative
4301,cant,My Prerogative
4302,know,My Prerogative
4303,yeah,My Prerogative
4304,nothin,My Prerogative
4305,tell,My Prerogative
4306,ago,My Prerogative
4307,life,My Prerogative
4308,wan,My Prerogative
4309,one,My Prerogative
4310,talkin,My Prerogative
4311,decision,My Prerogative
4312,hard,My Prerogative
4313,try,My Prerogative
4314,nasty,My Prerogative
4315,oh,My Prerogative
4316,sing,My Prerogative
4317,spreadin,My Prerogative
4318,permission,My Prerogative
4319,zooped,My Prerogative
4320,really,My Prerogative
4321,long,My Prerogative
4322,win,My Prerogative
4323,understand,My Prerogative
4324,whats,My Prerogative
4325,kick,My Prerogative
4326,listen,My Prerogative
4327,deal,My Prerogative
4328,thats,My Prerogative
4329,busy,My Prerogative
4330,real,My Prerogative
4331,outta,My Prerogative
4332,money,My Prerogative
4333,fight,My Prerogative
4334,people,My Prerogative
4335,way,My Prerogative
4336,gettin,My Prerogative
4337,need,My Prerogative
4338,feel,My Prerogative
4339,around,My Prerogative
4340,let,My Prerogative
4341,didnt,My Prerogative
4342,mess,Hold On
4343,cry,Hold On
4344,wont,Hold On
4345,blame,Hold On
4346,think,Hold On
4347,anyone,Hold On
4348,cause,Hold On
4349,mind,Hold On
4350,comfortable,Hold On
4351,inside,Hold On
4352,thing,Hold On
4353,want,Hold On
4354,say,Hold On
4355,hold,Hold On
4356,make,Hold On
4357,except,Hold On
4358,na,Hold On
4359,worry,Hold On
4360,fair,Hold On
4361,dont,Hold On
4362,lock,Hold On
4363,open,Hold On
4364,turn,Hold On
4365,day,Hold On
4366,sustain,Hold On
4367,youve,Hold On
4368,gon,Hold On
4369,pain,Hold On
4370,go,Hold On
4371,goodbye,Hold On
4372,around,Hold On
4373,get,Hold On
4374,cant,Hold On
4375,pass,Hold On
4376,know,Hold On
4377,time,Hold On
4378,yeah,Hold On
4379,tell,Hold On
4380,life,Hold On
4381,one,Hold On
4382,baby,Hold On
4383,unhappiness,Hold On
4384,chain,Hold On
4385,ever,Hold On
4386,thingsll,Hold On
4387,could,Hold On
4388,really,Hold On
4389,free,Hold On
4390,change,Hold On
4391,break,Hold On
4392,heart,Hold On
4393,way,Hold On
4394,feel,Hold On
4395,worth,Hold On
4396,somebodys,Hold On
4397,step,Hold On
4398,let,Hold On
4399,somehow,It Must Have Been Love
4400,flow,It Must Have Been Love
4401,silence,It Must Have Been Love
4402,im,It Must Have Been Love
4403,whisper,It Must Have Been Love
4404,teardrop,It Must Have Been Love
4405,good,It Must Have Been Love
4406,eye,It Must Have Been Love
4407,pillow,It Must Have Been Love
4408,together,It Must Have Been Love
4409,time,It Must Have Been Love
4410,ground,It Must Have Been Love
4411,bedroom,It Must Have Been Love
4412,like,It Must Have Been Love
4413,palm,It Must Have Been Love
4414,wake,It Must Have Been Love
4415,make,It Must Have Been Love
4416,shelter,It Must Have Been Love
4417,moment,It Must Have Been Love
4418,air,It Must Have Been Love
4419,away,It Must Have Been Love
4420,hard,It Must Have Been Love
4421,touch,It Must Have Been Love
4422,blow,It Must Have Been Love
4423,love,It Must Have Been Love
4424,lay,It Must Have Been Love
4425,run,It Must Have Been Love
4426,believe,It Must Have Been Love
4427,heart,It Must Have Been Love
4428,lonely,It Must Have Been Love
4429,must,It Must Have Been Love
4430,turn,It Must Have Been Love
4431,living,It Must Have Been Love
4432,water,It Must Have Been Love
4433,leave,It Must Have Been Love
4434,day,It Must Have Been Love
4435,without,It Must Have Been Love
4436,outside,It Must Have Been Love
4437,close,It Must Have Been Love
4438,till,It Must Have Been Love
4439,want,It Must Have Been Love
4440,winter,It Must Have Been Love
4441,wind,It Must Have Been Love
4442,lose,It Must Have Been Love
4443,dream,It Must Have Been Love
4444,around,It Must Have Been Love
4445,everything,(Everything I Do) I Do It for You
4446,im,(Everything I Do) I Do It for You
4447,well,(Everything I Do) I Do It for You
4448,die,(Everything I Do) I Do It for You
4449,youre,(Everything I Do) I Do It for You
4450,ill,(Everything I Do) I Do It for You
4451,love,(Everything I Do) I Do It for You
4452,hide,(Everything I Do) I Do It for You
4453,give,(Everything I Do) I Do It for You
4454,search,(Everything I Do) I Do It for You
4455,see,(Everything I Do) I Do It for You
4456,want,(Everything I Do) I Do It for You
4457,would,(Everything I Do) I Do It for You
4458,like,(Everything I Do) I Do It for You
4459,mean,(Everything I Do) I Do It for You
4460,youll,(Everything I Do) I Do It for You
4461,find,(Everything I Do) I Do It for You
4462,tryin,(Everything I Do) I Do It for You
4463,dont,(Everything I Do) I Do It for You
4464,fightin,(Everything I Do) I Do It for You
4465,dyin,(Everything I Do) I Do It for You
4466,sacrifice,(Everything I Do) I Do It for You
4467,unless,(Everything I Do) I Do It for You
4468,go,(Everything I Do) I Do It for You
4469,wire,(Everything I Do) I Do It for You
4470,cant,(Everything I Do) I Do It for You
4471,eye,(Everything I Do) I Do It for You
4472,know,(Everything I Do) I Do It for You
4473,time,(Everything I Do) I Do It for You
4474,yeah,(Everything I Do) I Do It for You
4475,nothin,(Everything I Do) I Do It for You
4476,tell,(Everything I Do) I Do It for You
4477,life,(Everything I Do) I Do It for You
4478,help,(Everything I Do) I Do It for You
4479,baby,(Everything I Do) I Do It for You
4480,true,(Everything I Do) I Do It for You
4481,oh,(Everything I Do) I Do It for You
4482,could,(Everything I Do) I Do It for You
4483,aint,(Everything I Do) I Do It for You
4484,nowhere,(Everything I Do) I Do It for You
4485,walk,(Everything I Do) I Do It for You
4486,lie,(Everything I Do) I Do It for You
4487,theres,(Everything I Do) I Do It for You
4488,soul,(Everything I Do) I Do It for You
4489,take,(Everything I Do) I Do It for You
4490,fight,(Everything I Do) I Do It for You
4491,look,(Everything I Do) I Do It for You
4492,id,(Everything I Do) I Do It for You
4493,heart,(Everything I Do) I Do It for You
4494,way,(Everything I Do) I Do It for You
4495,worth,(Everything I Do) I Do It for You
4496,darling,(Everything I Do) I Do It for You
4497,rescue,I Wanna Sex You Up
4498,light,I Wanna Sex You Up
4499,im,I Wanna Sex You Up
4500,good,I Wanna Sex You Up
4501,die,I Wanna Sex You Up
4502,wake,I Wanna Sex You Up
4503,sex,I Wanna Sex You Up
4504,hook,I Wanna Sex You Up
4505,ill,I Wanna Sex You Up
4506,love,I Wanna Sex You Up
4507,makin,I Wanna Sex You Up
4508,cause,I Wanna Sex You Up
4509,inside,I Wanna Sex You Up
4510,pour,I Wanna Sex You Up
4511,nobody,I Wanna Sex You Up
4512,hold,I Wanna Sex You Up
4513,make,I Wanna Sex You Up
4514,come,I Wanna Sex You Up
4515,girl,I Wanna Sex You Up
4516,alone,I Wanna Sex You Up
4517,wrong,I Wanna Sex You Up
4518,na,I Wanna Sex You Up
4519,dont,I Wanna Sex You Up
4520,open,I Wanna Sex You Up
4521,wait,I Wanna Sex You Up
4522,ive,I Wanna Sex You Up
4523,til,I Wanna Sex You Up
4524,sweet,I Wanna Sex You Up
4525,rub,I Wanna Sex You Up
4526,right,I Wanna Sex You Up
4527,cant,I Wanna Sex You Up
4528,clothes,I Wanna Sex You Up
4529,know,I Wanna Sex You Up
4530,set,I Wanna Sex You Up
4531,lovin,I Wanna Sex You Up
4532,glass,I Wanna Sex You Up
4533,wan,I Wanna Sex You Up
4534,candle,I Wanna Sex You Up
4535,shy,I Wanna Sex You Up
4536,drown,I Wanna Sex You Up
4537,night,I Wanna Sex You Up
4538,free,I Wanna Sex You Up
4539,long,I Wanna Sex You Up
4540,wine,I Wanna Sex You Up
4541,real,I Wanna Sex You Up
4542,take,I Wanna Sex You Up
4543,coat,I Wanna Sex You Up
4544,feels,I Wanna Sex You Up
4545,heart,I Wanna Sex You Up
4546,disconnect,I Wanna Sex You Up
4547,feel,I Wanna Sex You Up
4548,close,I Wanna Sex You Up
4549,home,I Wanna Sex You Up
4550,phone,I Wanna Sex You Up
4551,let,I Wanna Sex You Up
4552,spin,End of the Road
4553,cry,End of the Road
4554,im,End of the Road
4555,dead,End of the Road
4556,wont,End of the Road
4557,die,End of the Road
4558,together,End of the Road
4559,back,End of the Road
4560,sleep,End of the Road
4561,unnatural,End of the Road
4562,ill,End of the Road
4563,love,End of the Road
4564,end,End of the Road
4565,head,End of the Road
4566,cause,End of the Road
4567,still,End of the Road
4568,yes,End of the Road
4569,belong,End of the Road
4570,mind,End of the Road
4571,care,End of the Road
4572,hurt,End of the Road
4573,want,End of the Road
4574,alright,End of the Road
4575,say,End of the Road
4576,hold,End of the Road
4577,forever,End of the Road
4578,mine,End of the Road
4579,like,End of the Road
4580,forgive,End of the Road
4581,youll,End of the Road
4582,come,End of the Road
4583,road,End of the Road
4584,girl,End of the Road
4585,dont,End of the Road
4586,much,End of the Road
4587,wait,End of the Road
4588,leave,End of the Road
4589,day,End of the Road
4590,cheat,End of the Road
4591,without,End of the Road
4592,youve,End of the Road
4593,pain,End of the Road
4594,go,End of the Road
4595,goodbye,End of the Road
4596,right,End of the Road
4597,cant,End of the Road
4598,weve,End of the Road
4599,know,End of the Road
4600,time,End of the Road
4601,baby,End of the Road
4602,instead,End of the Road
4603,try,End of the Road
4604,oh,End of the Road
4605,could,End of the Road
4606,realize,End of the Road
4607,night,End of the Road
4608,really,End of the Road
4609,rather,End of the Road
4610,understand,End of the Road
4611,thats,End of the Road
4612,first,End of the Road
4613,never,End of the Road
4614,fella,End of the Road
4615,anyway,End of the Road
4616,although,End of the Road
4617,play,End of the Road
4618,please,End of the Road
4619,itd,End of the Road
4620,run,End of the Road
4621,id,End of the Road
4622,break,End of the Road
4623,wed,End of the Road
4624,heart,End of the Road
4625,lonely,End of the Road
4626,bed,End of the Road
4627,feel,End of the Road
4628,maybe,End of the Road
4629,happy,End of the Road
4630,tight,End of the Road
4631,around,End of the Road
4632,let,End of the Road
4633,didnt,End of the Road
4634,lose,Baby Got Back
4635,ask,Baby Got Back
4636,small,Baby Got Back
4637,throwin,Baby Got Back
4638,girlfriend,Baby Got Back
4639,im,Baby Got Back
4640,fit,Baby Got Back
4641,bitty,Baby Got Back
4642,big,Baby Got Back
4643,ya,Baby Got Back
4644,well,Baby Got Back
4645,warn,Baby Got Back
4646,animal,Baby Got Back
4647,double,Baby Got Back
4648,wont,Baby Got Back
4649,becky,Baby Got Back
4650,video,Baby Got Back
4651,talk,Baby Got Back
4652,mercedes,Baby Got Back
4653,youre,Baby Got Back
4654,beanpole,Baby Got Back
4655,picture,Baby Got Back
4656,wit,Baby Got Back
4657,red,Baby Got Back
4658,side,Baby Got Back
4659,romancin,Baby Got Back
4660,trouble,Baby Got Back
4661,female,Baby Got Back
4662,tough,Baby Got Back
4663,doubleup,Baby Got Back
4664,waist,Baby Got Back
4665,sweat,Baby Got Back
4666,god,Baby Got Back
4667,witcha,Baby Got Back
4668,back,Baby Got Back
4669,hook,Baby Got Back
4670,stay,Baby Got Back
4671,ill,Baby Got Back
4672,silicone,Baby Got Back
4673,playin,Baby Got Back
4674,kickin,Baby Got Back
4675,deep,Baby Got Back
4676,oakland,Baby Got Back
4677,stickin,Baby Got Back
4678,cause,Baby Got Back
4679,1900mixalot,Baby Got Back
4680,give,Baby Got Back
4681,thick,Baby Got Back
4682,toss,Baby Got Back
4683,actin,Baby Got Back
4684,scandal,Baby Got Back
4685,punk,Baby Got Back
4686,brother,Baby Got Back
4687,thing,Baby Got Back
4688,see,Baby Got Back
4689,thinkin,Baby Got Back
4690,turbo,Baby Got Back
4691,dial,Baby Got Back
4692,want,Baby Got Back
4693,toy,Baby Got Back
4694,heres,Baby Got Back
4695,man,Baby Got Back
4696,honda,Baby Got Back
4697,stuff,Baby Got Back
4698,say,Baby Got Back
4699,playboy,Baby Got Back
4700,hoe,Baby Got Back
4701,stick,Baby Got Back
4702,dam,Baby Got Back
4703,sprung,Baby Got Back
4704,triple,Baby Got Back
4705,shout,Baby Got Back
4706,six,Baby Got Back
4707,miss,Baby Got Back
4708,ha,Baby Got Back
4709,mixalots,Baby Got Back
4710,like,Baby Got Back
4711,fonda,Baby Got Back
4712,straight,Baby Got Back
4713,mean,Baby Got Back
4714,vette,Baby Got Back
4715,make,Baby Got Back
4716,tape,Baby Got Back
4717,knucklehead,Baby Got Back
4718,find,Baby Got Back
4719,come,Baby Got Back
4720,healthy,Baby Got Back
4721,bout,Baby Got Back
4722,use,Baby Got Back
4723,ugh,Baby Got Back
4724,lady,Baby Got Back
4725,girl,Baby Got Back
4726,x,Baby Got Back
4727,walkin,Baby Got Back
4728,guy,Baby Got Back
4729,quit,Baby Got Back
4730,gross,Baby Got Back
4731,believe,Baby Got Back
4732,groupie,Baby Got Back
4733,dont,Baby Got Back
4734,motor,Baby Got Back
4735,average,Baby Got Back
4736,much,Baby Got Back
4737,turn,Baby Got Back
4738,ta,Baby Got Back
4739,leave,Baby Got Back
4740,curve,Baby Got Back
4741,thought,Baby Got Back
4742,anaconda,Baby Got Back
4743,pack,Baby Got Back
4744,youve,Baby Got Back
4745,resist,Baby Got Back
4746,list,Baby Got Back
4747,ive,Baby Got Back
4748,rumposmoothskin,Baby Got Back
4749,til,Baby Got Back
4750,bend,Baby Got Back
4751,quick,Baby Got Back
4752,sista,Baby Got Back
4753,staring,Baby Got Back
4754,unless,Baby Got Back
4755,wear,Baby Got Back
4756,black,Baby Got Back
4757,wet,Baby Got Back
4758,get,Baby Got Back
4759,magazine,Baby Got Back
4760,la,Baby Got Back
4761,face,Baby Got Back
4762,knockkneed,Baby Got Back
4763,sistas,Baby Got Back
4764,cant,Baby Got Back
4765,fellas,Baby Got Back
4766,bun,Baby Got Back
4767,jean,Baby Got Back
4768,know,Baby Got Back
4769,friction,Baby Got Back
4770,yeah,Baby Got Back
4771,benz,Baby Got Back
4772,nothin,Baby Got Back
4773,homeboy,Baby Got Back
4774,woman,Baby Got Back
4775,tell,Baby Got Back
4776,retrieve,Baby Got Back
4777,help,Baby Got Back
4778,one,Baby Got Back
4779,ladies,Baby Got Back
4780,baby,Baby Got Back
4781,thirty,Baby Got Back
4782,talkin,Baby Got Back
4783,hard,Baby Got Back
4784,deny,Baby Got Back
4785,juicy,Baby Got Back
4786,try,Baby Got Back
4787,sayin,Baby Got Back
4788,nasty,Baby Got Back
4789,horny,Baby Got Back
4790,white,Baby Got Back
4791,oh,Baby Got Back
4792,ooh,Baby Got Back
4793,fuck,Baby Got Back
4794,situps,Baby Got Back
4795,itty,Baby Got Back
4796,shes,Baby Got Back
4797,tire,Baby Got Back
4798,total,Baby Got Back
4799,53,Baby Got Back
4800,round,Baby Got Back
4801,flo,Baby Got Back
4802,long,Baby Got Back
4803,aint,Baby Got Back
4804,hon,Baby Got Back
4805,throw,Baby Got Back
4806,gig,Baby Got Back
4807,rock,Baby Got Back
4808,hit,Baby Got Back
4809,role,Baby Got Back
4810,pull,Baby Got Back
4811,understand,Baby Got Back
4812,beggin,Baby Got Back
4813,rather,Baby Got Back
4814,notice,Baby Got Back
4815,butt,Baby Got Back
4816,kick,Baby Got Back
4817,fat,Baby Got Back
4818,walk,Baby Got Back
4819,song,Baby Got Back
4820,rap,Baby Got Back
4821,word,Baby Got Back
4822,bimbos,Baby Got Back
4823,strong,Baby Got Back
4824,even,Baby Got Back
4825,cosmo,Baby Got Back
4826,piece,Baby Got Back
4827,dawn,Baby Got Back
4828,dis,Baby Got Back
4829,prostitute,Baby Got Back
4830,choose,Baby Got Back
4831,lookin,Baby Got Back
4832,lie,Baby Got Back
4833,real,Baby Got Back
4834,boy,Baby Got Back
4835,soul,Baby Got Back
4836,fella,Baby Got Back
4837,cuss,Baby Got Back
4838,flat,Baby Got Back
4839,simps,Baby Got Back
4840,none,Baby Got Back
4841,take,Baby Got Back
4842,play,Baby Got Back
4843,lot,Baby Got Back
4844,stop,Baby Got Back
4845,please,Baby Got Back
4846,game,Baby Got Back
4847,bubble,Baby Got Back
4848,sixtwenty,Baby Got Back
4849,goin,Baby Got Back
4850,roll,Baby Got Back
4851,look,Baby Got Back
4852,gol,Baby Got Back
4853,id,Baby Got Back
4854,break,Baby Got Back
4855,keep,Baby Got Back
4856,shake,Baby Got Back
4857,fourthirty,Baby Got Back
4858,bean,Baby Got Back
4859,part,Baby Got Back
4860,dancin,Baby Got Back
4861,workout,Baby Got Back
4862,jo,Baby Got Back
4863,home,Baby Got Back
4864,kay,Baby Got Back
4865,rice,Baby Got Back
4866,hell,Baby Got Back
4867,em,Baby Got Back
4868,booty,Baby Got Back
4869,around,Baby Got Back
4870,didnt,Baby Got Back
4871,selection,Baby Got Back
4872,cry,I Will Always Love You
4873,im,I Will Always Love You
4874,kind,I Will Always Love You
4875,wish,I Will Always Love You
4876,know,I Will Always Love You
4877,life,I Will Always Love You
4878,think,I Will Always Love You
4879,take,I Will Always Love You
4880,treat,I Will Always Love You
4881,please,I Will Always Love You
4882,stay,I Will Always Love You
4883,ill,I Will Always Love You
4884,every,I Will Always Love You
4885,love,I Will Always Love You
4886,dont,I Will Always Love You
4887,oh,I Will Always Love You
4888,way,I Will Always Love You
4889,always,I Will Always Love You
4890,bittersweet,I Will Always Love You
4891,hm,I Will Always Love You
4892,need,I Will Always Love You
4893,memory,I Will Always Love You
4894,happiness,I Will Always Love You
4895,darling,I Will Always Love You
4896,youve,I Will Always Love You
4897,joy,I Will Always Love You
4898,step,I Will Always Love You
4899,go,I Will Always Love You
4900,hope,I Will Always Love You
4901,goodbye,I Will Always Love You
4902,dream,I Will Always Love You
4903,would,I Will Always Love You
4904,mess,Whoomp! (There It Is)
4905,im,Whoomp! (There It Is)
4906,crazy,Whoomp! (There It Is)
4907,ride,Whoomp! (There It Is)
4908,full,Whoomp! (There It Is)
4909,ya,Whoomp! (There It Is)
4910,aka,Whoomp! (There It Is)
4911,dance,Whoomp! (There It Is)
4912,youre,Whoomp! (There It Is)
4913,bdoubleoty,Whoomp! (There It Is)
4914,mad,Whoomp! (There It Is)
4915,invent,Whoomp! (There It Is)
4916,show,Whoomp! (There It Is)
4917,omp,Whoomp! (There It Is)
4918,rip,Whoomp! (There It Is)
4919,back,Whoomp! (There It Is)
4920,cool,Whoomp! (There It Is)
4921,ill,Whoomp! (There It Is)
4922,kickin,Whoomp! (There It Is)
4923,sound,Whoomp! (There It Is)
4924,comanding,Whoomp! (There It Is)
4925,flip,Whoomp! (There It Is)
4926,core,Whoomp! (There It Is)
4927,cause,Whoomp! (There It Is)
4928,wreck,Whoomp! (There It Is)
4929,begin,Whoomp! (There It Is)
4930,whoomp,Whoomp! (There It Is)
4931,three,Whoomp! (There It Is)
4932,bring,Whoomp! (There It Is)
4933,inside,Whoomp! (There It Is)
4934,jump,Whoomp! (There It Is)
4935,want,Whoomp! (There It Is)
4936,slam,Whoomp! (There It Is)
4937,whoo,Whoomp! (There It Is)
4938,hey,Whoomp! (There It Is)
4939,man,Whoomp! (There It Is)
4940,heres,Whoomp! (There It Is)
4941,say,Whoomp! (There It Is)
4942,fu,Whoomp! (There It Is)
4943,derriere,Whoomp! (There It Is)
4944,stick,Whoomp! (There It Is)
4945,lem,Whoomp! (There It Is)
4946,skill,Whoomp! (There It Is)
4947,dc,Whoomp! (There It Is)
4948,upside,Whoomp! (There It Is)
4949,like,Whoomp! (There It Is)
4950,honey,Whoomp! (There It Is)
4951,straight,Whoomp! (There It Is)
4952,something,Whoomp! (There It Is)
4953,mean,Whoomp! (There It Is)
4954,make,Whoomp! (There It Is)
4955,fool,Whoomp! (There It Is)
4956,find,Whoomp! (There It Is)
4957,come,Whoomp! (There It Is)
4958,bout,Whoomp! (There It Is)
4959,blank,Whoomp! (There It Is)
4960,effect,Whoomp! (There It Is)
4961,folks,Whoomp! (There It Is)
4962,little,Whoomp! (There It Is)
4963,crave,Whoomp! (There It Is)
4964,skin,Whoomp! (There It Is)
4965,brain,Whoomp! (There It Is)
4966,yall,Whoomp! (There It Is)
4967,dip,Whoomp! (There It Is)
4968,thought,Whoomp! (There It Is)
4969,underground,Whoomp! (There It Is)
4970,producer,Whoomp! (There It Is)
4971,go,Whoomp! (There It Is)
4972,old,Whoomp! (There It Is)
4973,demand,Whoomp! (There It Is)
4974,get,Whoomp! (There It Is)
4975,shit,Whoomp! (There It Is)
4976,dank,Whoomp! (There It Is)
4977,undertaker,Whoomp! (There It Is)
4978,know,Whoomp! (There It Is)
4979,partypeople,Whoomp! (There It Is)
4980,time,Whoomp! (There It Is)
4981,yeah,Whoomp! (There It Is)
4982,steel,Whoomp! (There It Is)
4983,1,Whoomp! (There It Is)
4984,baby,Whoomp! (There It Is)
4985,team,Whoomp! (There It Is)
4986,ima,Whoomp! (There It Is)
4987,hard,Whoomp! (There It Is)
4988,mike,Whoomp! (There It Is)
4989,check,Whoomp! (There It Is)
4990,dasies,Whoomp! (There It Is)
4991,oh,Whoomp! (There It Is)
4992,music,Whoomp! (There It Is)
4993,ooh,Whoomp! (There It Is)
4994,drink,Whoomp! (There It Is)
4995,puff,Whoomp! (There It Is)
4996,uh,Whoomp! (There It Is)
4997,kill,Whoomp! (There It Is)
4998,microphone,Whoomp! (There It Is)
4999,hear,Whoomp! (There It Is)
5000,juice,Whoomp! (There It Is)
5001,steve,Whoomp! (There It Is)
5002,thrill,Whoomp! (There It Is)
5003,comin,Whoomp! (There It Is)
5004,rock,Whoomp! (There It Is)
5005,hit,Whoomp! (There It Is)
5006,wave,Whoomp! (There It Is)
5007,outstanding,Whoomp! (There It Is)
5008,mic,Whoomp! (There It Is)
5009,flow,Whoomp! (There It Is)
5010,word,Whoomp! (There It Is)
5011,cha,Whoomp! (There It Is)
5012,thats,Whoomp! (There It Is)
5013,push,Whoomp! (There It Is)
5014,shi,Whoomp! (There It Is)
5015,hype,Whoomp! (There It Is)
5016,hand,Whoomp! (There It Is)
5017,party,Whoomp! (There It Is)
5018,amazing,Whoomp! (There It Is)
5019,supreme,Whoomp! (There It Is)
5020,busy,Whoomp! (There It Is)
5021,rolln,Whoomp! (There It Is)
5022,theres,Whoomp! (There It Is)
5023,breathtaker,Whoomp! (There It Is)
5024,mother,Whoomp! (There It Is)
5025,fly,Whoomp! (There It Is)
5026,air,Whoomp! (There It Is)
5027,dig,Whoomp! (There It Is)
5028,dunk,Whoomp! (There It Is)
5029,shovel,Whoomp! (There It Is)
5030,people,Whoomp! (There It Is)
5031,keep,Whoomp! (There It Is)
5032,tag,Whoomp! (There It Is)
5033,takin,Whoomp! (There It Is)
5034,way,Whoomp! (There It Is)
5035,two,Whoomp! (There It Is)
5036,school,Whoomp! (There It Is)
5037,shake,Whoomp! (There It Is)
5038,rejoice,Whoomp! (There It Is)
5039,whdouble,Whoomp! (There It Is)
5040,folklore,Whoomp! (There It Is)
5041,noise,Whoomp! (There It Is)
5042,gettin,Whoomp! (There It Is)
5043,shakalakashakalakashakalakashaka,Whoomp! (There It Is)
5044,house,Whoomp! (There It Is)
5045,nig,Whoomp! (There It Is)
5046,point,Whoomp! (There It Is)
5047,gin,Whoomp! (There It Is)
5048,let,Whoomp! (There It Is)
5049,get,The Sign
5050,light,The Sign
5051,im,The Sign
5052,many,The Sign
5053,sieeieeign,The Sign
5054,moon,The Sign
5055,eye,The Sign
5056,like,The Sign
5057,oohoohoooooo,The Sign
5058,youre,The Sign
5059,person,The Sign
5060,life,The Sign
5061,one,The Sign
5062,lot,The Sign
5063,live,The Sign
5064,pale,The Sign
5065,recognize,The Sign
5066,na,The Sign
5067,oh,The Sign
5068,glad,The Sign
5069,saw,The Sign
5070,open,The Sign
5071,could,The Sign
5072,ohohoh,The Sign
5073,drag,The Sign
5074,belong,The Sign
5075,bother,The Sign
5076,new,The Sign
5077,year,The Sign
5078,mind,The Sign
5079,bring,The Sign
5080,without,The Sign
5081,see,The Sign
5082,leave,The Sign
5083,hardly,The Sign
5084,joy,The Sign
5085,happy,The Sign
5086,care,The Sign
5087,gon,The Sign
5088,ive,The Sign
5089,star,The Sign
5090,understand,The Sign
5091,wonder,The Sign
5092,sign,The Sign
5093,enough,The Sign
5094,would,The Sign
5095,demand,The Sign
5096,cry,I Swear
5097,ask,I Swear
5098,moon,I Swear
5099,wall,I Swear
5100,good,I Swear
5101,well,I Swear
5102,wont,I Swear
5103,u,I Swear
5104,side,I Swear
5105,ill,I Swear
5106,love,I Swear
5107,question,I Swear
5108,cause,I Swear
5109,give,I Swear
5110,still,I Swear
5111,mind,I Swear
5112,sky,I Swear
5113,see,I Swear
5114,thing,I Swear
5115,care,I Swear
5116,star,I Swear
5117,age,I Swear
5118,bad,I Swear
5119,like,I Swear
5120,page,I Swear
5121,single,I Swear
5122,youll,I Swear
5123,make,I Swear
5124,build,I Swear
5125,every,I Swear
5126,sure,I Swear
5127,though,I Swear
5128,turn,I Swear
5129,till,I Swear
5130,dream,I Swear
5131,know,I Swear
5132,eye,I Swear
5133,time,I Swear
5134,tear,I Swear
5135,beside,I Swear
5136,oh,I Swear
5137,swear,I Swear
5138,memory,I Swear
5139,death,I Swear
5140,whats,I Swear
5141,shadow,I Swear
5142,hang,I Swear
5143,mistake,I Swear
5144,thats,I Swear
5145,hand,I Swear
5146,never,I Swear
5147,break,I Swear
5148,heart,I Swear
5149,beat,I Swear
5150,stand,I Swear
5151,two,I Swear
5152,part,I Swear
5153,year,I Swear
5154,weigh,I Swear
5155,happy,I Swear
5156,educated,Gangsta's Paradise
5157,smoke,Gangsta's Paradise
5158,light,Gangsta's Paradise
5159,im,Gangsta's Paradise
5160,might,Gangsta's Paradise
5161,learn,Gangsta's Paradise
5162,laugh,Gangsta's Paradise
5163,good,Gangsta's Paradise
5164,trip,Gangsta's Paradise
5165,wont,Gangsta's Paradise
5166,die,Gangsta's Paradise
5167,talk,Gangsta's Paradise
5168,anger,Gangsta's Paradise
5169,think,Gangsta's Paradise
5170,power,Gangsta's Paradise
5171,guess,Gangsta's Paradise
5172,valley,Gangsta's Paradise
