Id,Label,Type,Int Type
night,night,Words,1
family,family,Words,1
part,part,Words,1
saturday,saturday,Words,1
gamblin,gamblin,Words,1
see,see,Words,1
home,home,Words,1
gon,gon,Words,1
jump,jump,Words,1
river,river,Words,1
downtown,downtown,Words,1
late,late,Words,1
go,go,Words,1
settle,settle,Words,1
dream,dream,Words,1
cold,cold,Words,1
many,many,Words,1
mystic,mystic,Words,1
work,work,Words,1
lisa,lisa,Words,1
die,die,Words,1
blame,blame,Words,1
like,like,Words,1
lover,lover,Words,1
lie,lie,Words,1
real,real,Words,1
youre,youre,Words,1
tempt,tempt,Words,1
smile,smile,Words,1
lady,lady,Words,1
warm,warm,Words,1
broken,broken,Words,1
mona,mona,Words,1
hide,hide,Words,1
heart,heart,Words,1
cause,cause,Words,1
way,way,Words,1
lonely,lonely,Words,1
art,art,Words,1
men,men,Words,1
doorstep,doorstep,Words,1
name,name,Words,1
bring,bring,Words,1
lovely,lovely,Words,1
strangeness,strangeness,Words,1
dream,dream,Words,1
wish,wish,Words,1
well,well,Words,1
wont,wont,Words,1
someday,someday,Words,1
shell,shell,Words,1
shed,shed,Words,1
like,like,Words,1
tell,tell,Words,1
make,make,Words,1
steady,steady,Words,1
sorry,sorry,Words,1
young,young,Words,1
act,act,Words,1
grow,grow,Words,1
stone,stone,Words,1
wild,wild,Words,1
ready,ready,Words,1
ever,ever,Words,1
way,way,Words,1
child,child,Words,1
must,must,Words,1
always,always,Words,1
realize,realize,Words,1
drive,drive,Words,1
wait,wait,Words,1
hear,hear,Words,1
feel,feel,Words,1
see,see,Words,1
may,may,Words,1
till,till,Words,1
go,go,Words,1
late,late,Words,1
say,say,Words,1
forever,forever,Words,1
mine,mine,Words,1
romance,romance,Words,1
moon,moon,Words,1
kiss,kiss,Words,1
like,like,Words,1
never,never,Words,1
theres,theres,Words,1
youre,youre,Words,1
life,life,Words,1
smile,smile,Words,1
live,live,Words,1
love,love,Words,1
heart,heart,Words,1
shine,shine,Words,1
near,near,Words,1
sun,sun,Words,1
part,part,Words,1
start,start,Words,1
worth,worth,Words,1
star,star,Words,1
paradise,paradise,Words,1
say,say,Words,1
song,song,Words,1
desire,desire,Words,1
hold,hold,Words,1
cheek,cheek,Words,1
world,world,Words,1
arm,arm,Words,1
first,first,Words,1
forget,forget,Words,1
soon,soon,Words,1
kiss,kiss,Words,1
know,know,Words,1
dance,dance,Words,1
like,like,Words,1
meet,meet,Words,1
blue,blue,Words,1
recall,recall,Words,1
ago,ago,Words,1
express,express,Words,1
play,play,Words,1
tonight,tonight,Words,1
use,use,Words,1
violin,violin,Words,1
love,love,Words,1
dont,dont,Words,1
speak,speak,Words,1
music,music,Words,1
tango,tango,Words,1
day,day,Words,1
choir,choir,Words,1
tune,tune,Words,1
long,long,Words,1
tight,tight,Words,1
couldnt,couldnt,Words,1
spin,spin,Words,1
hop,hop,Words,1
somehow,somehow,Words,1
sigh,sigh,Words,1
im,im,Words,1
kiss,kiss,Words,1
know,know,Words,1
yearn,yearn,Words,1
wheel,wheel,Words,1
fortune,fortune,Words,1
flame,flame,Words,1
precious,precious,Words,1
smile,smile,Words,1
please,please,Words,1
pas,pas,Words,1
arrow,arrow,Words,1
ill,ill,Words,1
love,love,Words,1
ever,ever,Words,1
dont,dont,Words,1
oh,oh,Words,1
way,way,Words,1
turn,turn,Words,1
day,day,Words,1
magic,magic,Words,1
hoping,hoping,Words,1
sometime,sometime,Words,1
point,point,Words,1
win,win,Words,1
fame,fame,Words,1
go,go,Words,1
around,around,Words,1
let,let,Words,1
dream,dream,Words,1
even,even,Words,1
someone,someone,Words,1
im,im,Words,1
kiss,kiss,Words,1
eye,eye,Words,1
wont,wont,Words,1
spell,spell,Words,1
like,like,Words,1
never,never,Words,1
youre,youre,Words,1
cloud,cloud,Words,1
tell,tell,Words,1
please,please,Words,1
else,else,Words,1
worry,worry,Words,1
ever,ever,Words,1
pretend,pretend,Words,1
break,break,Words,1
heart,heart,Words,1
must,must,Words,1
always,always,Words,1
realize,realize,Words,1
near,near,Words,1
melt,melt,Words,1
thing,thing,Words,1
may,may,Words,1
lip,lip,Words,1
close,close,Words,1
sad,sad,Words,1
youve,youve,Words,1
darling,darling,Words,1
wonder,wonder,Words,1
wherever,wherever,Words,1
con,con,Words,1
many,many,Words,1
dawn,dawn,Words,1
prayr,prayr,Words,1
town,town,Words,1
vaya,vaya,Words,1
time,time,Words,1
youre,youre,Words,1
share,share,Words,1
youll,youll,Words,1
come,come,Words,1
although,although,Words,1
away,away,Words,1
hasten,hasten,Words,1
million,million,Words,1
evry,evry,Words,1
ring,ring,Words,1
dark,dark,Words,1
god,god,Words,1
gray,gray,Words,1
sleep,sleep,Words,1
ill,ill,Words,1
beside,beside,Words,1
love,love,Words,1
hacienda,hacienda,Words,1
break,break,Words,1
tomorrow,tomorrow,Words,1
weep,weep,Words,1
bell,bell,Words,1
heart,heart,Words,1
sing,sing,Words,1
lonely,lonely,Words,1
village,village,Words,1
borrow,borrow,Words,1
night,night,Words,1
hear,hear,Words,1
day,day,Words,1
part,part,Words,1
memory,memory,Words,1
mission,mission,Words,1
darling,darling,Words,1
may,may,Words,1
hour,hour,Words,1
dios,dios,Words,1
guide,guide,Words,1
listen,listen,Words,1
dream,dream,Words,1
softly,softly,Words,1
say,say,Words,1
cry,cry,Words,1
im,im,Words,1
youre,youre,Words,1
show,show,Words,1
bright,bright,Words,1
buy,buy,Words,1
cause,cause,Words,1
give,give,Words,1
always,always,Words,1
nice,nice,Words,1
hair,hair,Words,1
thing,thing,Words,1
far,far,Words,1
care,care,Words,1
say,say,Words,1
champagne,champagne,Words,1
forever,forever,Words,1
six,six,Words,1
room,room,Words,1
honey,honey,Words,1
mean,mean,Words,1
smile,smile,Words,1
touch,touch,Words,1
gray,gray,Words,1
shoulder,shoulder,Words,1
dont,dont,Words,1
little,little,Words,1
much,much,Words,1
cost,cost,Words,1
honestly,honestly,Words,1
diamond,diamond,Words,1
day,day,Words,1
rely,rely,Words,1
dot,dot,Words,1
ive,ive,Words,1
whether,whether,Words,1
secret,secret,Words,1
forgot,forgot,Words,1
sable,sable,Words,1
pass,pass,Words,1
across,across,Words,1
chair,chair,Words,1
away,away,Words,1
blow,blow,Words,1
havent,havent,Words,1
ever,ever,Words,1
arm,arm,Words,1
warmth,warmth,Words,1
hand,hand,Words,1
kiss,kiss,Words,1
never,never,Words,1
send,send,Words,1
lot,lot,Words,1
call,call,Words,1
money,money,Words,1
look,look,Words,1
street,street,Words,1
pearl,pearl,Words,1
heart,heart,Words,1
way,way,Words,1
cross,cross,Words,1
line,line,Words,1
lose,lose,Words,1
hold,hold,Words,1
someone,someone,Words,1
arm,arm,Words,1
confession,confession,Words,1
trust,trust,Words,1
jury,jury,Words,1
kiss,kiss,Words,1
know,know,Words,1
guilty,guilty,Words,1
last,last,Words,1
forgive,forgive,Words,1
closely,closely,Words,1
find,find,Words,1
